https://nccd.cdc.gov/uscs/cancersbyraceandethnicity.aspx,,,,,,,,,,,,,,,,,,,,,,,
,,Cancer Type (2=Breast Cancer),"Type (1=Incidence Rate, 2=Death Rate)","1=Cancer Site, 2=All Cancer Combined, 3=All Sites Combined, 4=Breast Cancer)",Year,All Races Rate,All Races LCI,All Races UCI,White Rate,White LCI,White UCI,Black Rate,Black LCI,Black UCI,Asian/Pacific Islander Rate,Asian/Pacific Islander LCI,Asian/Pacific Islander UCI,American Indian/Alaska Native Rate,American Indian/Alaska Native LCI,American Indian/Alaska Native UCI,Hispanic Rate,Hispanic LCI,Hispanic UCI
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2013,11.5,11.4,11.6,11.2,11.1,11.3,16.6,16.1,17.0,6.2,5.8,6.6,5.5,4.7,6.5,8.0,7.7,8.4
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2012,11.8,11.7,11.9,11.4,11.3,11.6,17.2,16.8,17.7,6.3,5.9,6.7,5.9,5.0,6.9,8.1,7.8,8.4
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2011,12.0,11.9,12.1,11.6,11.5,11.7,17.7,17.2,18.2,6.3,5.9,6.7,6.1,5.2,7.2,7.8,7.5,8.2
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2010,12.3,12.1,12.4,11.9,11.7,12.0,17.8,17.3,18.2,6.6,6.2,7.1,6.3,5.3,7.4,8.0,7.6,8.3
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2009,12.4,12.3,12.6,12.1,12.0,12.2,17.8,17.3,18.3,6.2,5.8,6.7,6.8,5.8,8.0,8.3,7.9,8.6
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2008,12.7,12.5,12.8,12.3,12.1,12.4,18.4,17.9,18.9,6.5,6.0,6.9,7.1,6.0,8.3,8.2,7.8,8.5
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2007,12.9,12.8,13.0,12.5,12.4,12.6,18.5,18.0,19.0,6.2,5.8,6.7,7.5,6.3,8.8,8.3,7.9,8.7
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2006,13.2,13.1,13.4,12.9,12.7,13.0,18.7,18.2,19.2,6.8,6.3,7.3,7.3,6.1,8.6,8.6,8.2,9.0
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2005,13.6,13.5,13.7,13.2,13.0,13.3,19.4,18.9,19.9,6.9,6.4,7.4,8.9,7.5,10.4,8.6,8.2,9.0
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2004,13.8,13.7,14.0,13.4,13.3,13.6,19.1,18.6,19.6,7.1,6.6,7.6,8.7,7.3,10.2,9.0,8.6,9.4
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2003,14.3,14.2,14.4,13.9,13.7,14.0,20.2,19.7,20.8,7.0,6.5,7.6,8.6,7.1,10.2,9.1,8.7,9.6
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2002,14.5,14.4,14.7,14.1,14.0,14.3,20.3,19.8,20.9,7.2,6.7,7.8,8.0,6.6,9.5,8.9,8.5,9.4
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2001,14.8,14.6,14.9,14.4,14.2,14.5,20.5,20.0,21.1,7.2,6.6,7.8,6.8,5.6,8.2,9.2,8.7,9.6
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,1999,15.2,15.0,15.3,14.8,14.6,14.9,20.9,20.4,21.5,7.1,6.5,7.7,8.9,7.4,10.7,9.4,8.9,9.9
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,2,3,2000,15.2,15.0,15.3,14.9,14.7,15.0,20.5,19.9,21.0,6.7,6.2,7.3,7.6,6.3,9.2,9.4,9.0,9.9
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,1,4,2010,65.3,65.0,65.6,65.2,64.9,65.5,69.2,68.3,70.1,48.5,47.4,49.7,35.3,33.0,37.6,48.0,47.2,48.8
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,1,4,2005,65.6,65.3,65.9,66.0,65.7,66.3,66.0,65.0,66.9,45.6,44.4,46.8,37.3,34.6,40.1,51.2,50.3,52.2
Breast Cancer Male Female By Cancer Type and Race,Male and Female Breast,2,1,4,2004,65.9,65.6,66.2,66.3,65.9,66.6,66.3,65.4,67.3,45.6,44.3,46.8,37.1,34.5,39.9,49.1,48.2,50.0
