cell_number,"Gen# (1 = Female, Male = 2, Unspecified = 3)","Eth# (1 = Asian, 2 = Black, Hispanic = 3, Caucasian/White = 4, Unspecified = 5)","Dis# (1=General, 2 = Breast Cancer, 3 = Prostate Cancer, Lung Cancer = 4, Leukemia/Lymphona=5)",Year,Age,"Contaminated by HeLa or other (1=Yes, contaminated, 0=No, not  contaminated)"
1301,1,4,5,0,4,0
C 32 TG,2,4,1,0,53,0
C 4 2 ,1,4,1,0,41,0
C 4 2 B,2,4,3,0,50,0
C 4 I,1,4,1,0,41,0
C 4 II,1,4,1,0,41,0
COLO 679,1,5,1,0,47,0
COR L 23/R,1,4,4,0,62,0
FLYA 13,2,4,1,0,35,0
FLYRD 18,2,4,1,0,35,0
HCA 7 Colony 29,1,5,1,0,58,0
HeLa 229,1,2,1,0,31,0
HeLa B,3,5,1,0,-10,0
HL 60 M 2,1,4,5,0,36,0
JIII,1,2,1,0,-10,0
KG 1 a,2,4,5,0,59,0
LACP 4,3,5,1,0,0,0
LNCaP C 4,2,4,3,0,50,0
LNCaP C4 B,2,4,3,0,50,0
LNCaP FGC,2,4,3,0,50,0
LNCaP LN 3,2,4,3,0,50,0
MES SA Dx 5,3,5,1,0,-10,0
PSN 1,3,5,1,0,-10,0
T 47 D KBluc,3,5,2,0,54,0
TO 14,1,5,1,0,-10,0
WPE 1 NB 26 65,2,4,3,0,54,0
WPE int,2,4,3,0,54,0
WPE stem,2,4,3,0,54,0
HeLa,1,2,1,1951,31,0
BT 20,1,4,2,1958,74,0
BeWo,2,5,1,1959,-10,0
C 4,2,4,3,1962,50,0
RAJI,2,2,5,1963,11,0
CCRF CEM,1,4,5,1964,4,0
EB 3,2,4,5,1964,3,0
HT 29,1,4,1,1964,44,0
RPMI 2650,2,5,1,1964,52,0
RPMI 8226,2,5,1,1966,61,0
U 87 MG,2,4,1,1966,44,0
DAUDI,2,2,5,1967,16,0
IMR 32,2,4,1,1967,1.083333333,0
JIYOYE,2,2,5,1967,7,0
P 3 HR 1,2,2,5,1967,7,0
RPMI 8866,1,5,5,1967,51,0
CCRF HSB 2,2,4,5,1968,11,0
Detroit 562,1,4,1,1968,-10,0
QIMR WIL,1,5,5,1968,-10,0
U 373 MG,3,5,1,1968,-10,0
RD,3,4,1,1969,7,0
SkBr 3,3,4,1,1970,43,0
U 266 B 1,2,5,5,1970,53,0
JEG 3,3,5,1,1971,-10,0
LoVo,2,5,1,1971,56,0
SK HEP 1,2,4,1,1971,52,0
SW 13,1,4,1,1971,55,0
1321 N 1,2,4,1,1972,50,0
A 549,2,4,4,1972,58,0
BE 2 C,2,4,1,1972,2,0
HT 1080,2,4,1,1972,35,0
MOLT 3,2,5,5,1972,19,0
MOLT 4,2,5,5,1972,19,0
Namalwa,1,5,5,1972,3,0
SK N BE 2,2,4,1,1972,1.833333333,0
WRL 68,3,5,1,1972,-10,0
A 172,2,5,1,1973,53,0
A 375,1,5,1,1973,54,0
A 431,1,5,1,1973,85,0
A 673,1,5,1,1973,15,0
A 704,2,5,1,1973,78,0
C 32,2,4,1,1973,53,0
ChaGo K 1,2,5,4,1973,45,0
MCF 7,1,4,2,1973,69,0
MDA MB 175 VII,1,2,2,1973,56,0
MM 127,3,5,1,1973,-10,0
MM 138,3,5,1,1973,-10,0
SK N SH,3,5,1,1973,4,0
SK OV 3,3,4,1,1973,64,0
HCT 8,2,5,1,1974,67,0
MB 157,2,2,2,1974,44,0
MDA MB 134 VI,1,4,2,1974,47,0
MDA MB 157,1,2,2,1974,44,0
MDA MB 231,1,4,2,1974,51,0
MDA MB 361,1,4,2,1974,40,0
MEWO,2,4,1,1974,78,0
PA 1,1,4,1,1974,12,0
SW 626,2,4,1,1974,46,0
WERI,3,5,1,1974,-10,0
Y 79,1,4,1,1974,2.5,0
CAKI 2,2,4,1,1975,69,0
CALU 1,2,4,4,1975,47,0
K 562,1,5,5,1975,53,0
MDA MB 415,1,4,2,1975,38,0
MIA Pa Ca 2,1,4,1,1975,65,0
PANC 1,2,4,1,1975,56,0
RAMOS,2,4,5,1975,3,0
SK MES 1,2,4,4,1975,65,0
CHP 134,2,5,1,1976,1.5,0
Evsa T,1,5,2,1976,-10,0
HGC 27,3,5,1,1976,-10,0
MDA MB 330,1,4,2,1976,43,0
MDA MB 453,1,4,2,1976,48,0
SW 1116,2,4,1,1976,73,0
SW 1417,1,4,1,1976,53,0
SW 1463,1,4,1,1976,66,0
SW 403,1,4,1,1976,51,0
SW 48,1,4,1,1976,82,0
SW 480,1,4,1,1976,50,0
SW 620,1,4,1,1976,51,0
SW 837,1,4,1,1976,53,0
SW 948,2,4,1,1976,81,0
Ca Ski,1,4,1,1977,40,0
CACO 2,2,4,1,1977,72,0
HL 60,1,4,5,1977,36,0
Hs 578 T,1,4,2,1977,74,0
HT 1197,2,4,1,1977,44,0
HT 1376,1,4,1,1977,58,0
HT 55,3,5,1,1977,-10,0
J 45 01,2,5,5,1977,-10,0
LA N 1,2,5,1,1977,2,0
LNCaP,2,4,3,1977,50,0
SHP 77,2,4,4,1977,54,0
ARH 77,1,4,5,1978,33,0
BT 474,1,4,2,1978,60,0
BT 483,1,4,2,1978,23,0
BT 549,1,4,2,1978,72,0
COLO 201,2,4,1,1978,70,0
COLO 205,2,4,1,1978,70,0
COLO 206 F,2,4,1,1978,70,0
DU 145,2,4,3,1978,69,0
EJ 138,1,5,1,1978,-10,0
G 361,2,4,1,1978,31,0
KATO III,3,1,1,1978,55,0
KG 1,2,4,5,1978,59,0
ML 1,2,5,5,1978,24,0
SH SY 5 Y,1,5,1,1978,4,0
SK N DZ,1,4,1,1978,2,0
ZR 75 1,1,4,2,1978,63,0
ZR 75 30,1,2,2,1978,47,0
ACHN,2,4,1,1979,22,0
AGS,1,4,1,1979,54,0
COLO 320 DM,1,4,1,1979,55,0
COLO 320 HSR,1,4,1,1979,55,0
DLD 1,2,5,1,1979,-10,0
HCT 15,2,5,1,1979,-10,0
PC 3,2,4,3,1979,62,0
SK N F 1,2,4,1,1979,11,0
SK PN DW,3,4,1,1979,17,0
T 47 D,2,5,2,1979,54,0
T 98 G,2,4,1,1979,61,0
CA 46,2,5,5,1980,-10,0
DMS 153,2,4,4,1980,44,0
DMS 53,2,5,4,1980,-10,0
DMS 79,2,4,4,1980,65,0
DMS 92,2,4,4,1980,39,0
H 69,2,4,4,1980,55,0
HUT 78,2,4,5,1980,53,0
Jurkat E 6 1,2,5,5,1980,-10,0
LS 174 T,1,4,1,1980,58,0
LS 180,1,4,1,1980,58,0
MC 116,2,5,5,1980,-10,0
MES SA,1,4,1,1980,56,0
NTERA 2,2,4,1,1980,22,0
T 84,2,5,1,1980,72,0
THP 1,2,5,5,1980,1,0
AsPC 1,1,4,1,1981,62,0
DMS 454,2,4,4,1981,-10,0
HCT 116,2,5,1,1981,-10,0
HEPM,1,5,1,1981,-10,0
KU 812,2,1,5,1981,38,0
NCI H 322,2,4,4,1981,52,0
NCI H 358,2,5,4,1981,-10,0
SCC 9,2,5,1,1981,25,0
SK N AS,1,4,1,1981,6,0
TT,1,4,1,1981,77,0
BxPC 3,1,5,1,1982,61,0
HEL 92 1 7,2,4,1,1982,40,0
HT 115,3,5,1,1982,-10,0
NCI H 510 A,2,4,4,1982,56,0
C 8166,3,5,5,1983,-10,0
Hep G 2,2,4,1,1983,15,0
KELLY,3,5,1,1983,-10,0
MEG 01,2,5,5,1983,55,0
NCI H 292,1,2,4,1983,32,0
NH 17,3,5,5,1983,-10,0
CCF STTG 1,1,4,1,1984,68,0
SUP T 1,3,4,5,1984,8,0
UM SCP 1,2,5,3,1984,-10,0
UM UC 1,3,2,1,1984,-10,0
1411 H,3,5,1,1985,-10,0
COR L 23,1,4,4,1985,62,0
COR L 24,2,5,1,1985,71,0
COR L 47,2,5,4,1985,-10,0
COR L 88,2,4,1,1985,55,0
HCA 7,1,5,1,1985,58,0
LIM 1215,2,5,1,1985,34,0
SNU C 2 B,3,1,1,1985,43,0
UM RC 2,3,5,1,1985,-10,0
UM RC 3,3,5,1,1985,-10,0
WM 115,1,5,1,1985,58,0
C 170,2,5,1,1986,-10,0
HCA 2,1,5,1,1986,83,0
HRA 19 a 1 1,2,5,1,1986,66,0
JVM 2,1,4,5,1986,63,0
MOR,3,5,4,1986,-10,0
SVCT,3,5,2,1986,-10,0
833 KE,2,5,1,1987,-10,0
A 2780,1,5,1,1987,-10,0
G 401,2,4,1,1987,0.25,0
MKL 1,2,4,1,1987,26,0
Ri 1,1,4,5,1987,48,0
Sci 1,3,5,5,1987,-10,0
TF 1,2,1,1,1987,35,0
UACC 893,1,4,2,1987,57,0
CFPAC 1,2,4,1,1988,26,0
HCC 1008,1,2,5,1988,67,0
PEA 1,3,5,1,1988,-10,0
PEA 2,3,5,1,1988,-10,0
PEO 1,3,5,1,1988,-10,0
PEO 14,3,5,1,1988,-10,0
PEO 23,3,5,1,1988,-10,0
PEO 4,3,5,1,1988,-10,0
PEO 6,3,5,1,1988,-10,0
PLC PRF 5,3,5,1,1988,-10,0
59 M,1,5,1,1989,-10,0
BE 2 M 17,2,4,1,1989,2,0
LUDLU 1,2,4,4,1989,72,0
Mero 14,2,5,1,1989,61,0
NCI H 727,1,4,4,1989,65,0
OAW 42,1,5,1,1989,-10,0
PC 14,3,5,4,1989,-10,0
RO 82 W 1,1,5,1,1989,-10,0
AU 565,1,4,2,1990,43,0
DMS 273,1,5,4,1990,50,0
FTC 133,2,5,1,1990,42,0
FTC 236,2,5,1,1990,42,0
FTC 238,2,5,1,1990,42,0
H 103,2,5,1,1990,32,0
H 157,2,5,4,1990,84,0
H 357,2,5,1,1990,74,0
H 376,1,5,1,1990,40,0
H 400,1,5,1,1990,-10,0
KARPAS 422,1,5,5,1990,73,0
NCI H 929,1,4,5,1990,62,0
F 36 P,2,5,5,1991,-10,0
JU 77,3,4,1,1991,33,0
LO 68,3,5,4,1991,-10,0
MFM 223,1,4,2,1991,-10,0
NO 36,3,5,4,1991,-10,0
ONE 58,3,5,1,1991,-10,0
UACC 812,1,5,2,1991,-10,0
VA ES BJ,2,4,3,1991,41,0
600 MPE,3,5,2,1992,43,0
DBTRG 05 MG,1,4,1,1992,59,0
EoL 1,3,5,5,1992,-10,0
H EMC SS,1,5,4,1992,77,0
HCC 202,1,4,2,1992,82,0
HCC 202,1,4,2,1992,82,0
HCC 38,1,4,2,1992,50,0
HCC 70,1,2,2,1992,49,0
KYSE 150,1,5,1,1992,-10,0
KYSE 30,2,5,1,1992,64,0
KYSE 410,2,1,1,1992,51,0
KYSE 70,2,1,1,1992,77,0
UACC 2648,1,4,2,1992,69,0
WPMY 1,2,4,3,1992,54,0
COV 434,1,5,1,1993,-10,0
K 1,3,5,1,1993,-10,0
LC 2/ad,1,1,4,1993,51,0
MCF 12A,1,4,2,1993,60,0
OE 19,2,4,1,1993,72,0
OE 21,2,4,1,1993,74,0
UM UC 9,2,5,1,1993,-10,0
8505 C,2,1,1,1994,78,0
CA HPV 10,2,5,3,1994,64,0
HCC 1143,1,4,2,1994,52,0
HCC 1143,1,4,2,1994,52,0
HCC 1395,1,4,2,1994,43,0
HCC 1419,1,3,2,1994,42,0
MFE 296,3,5,1,1994,-10,0
NB 69,2,5,1,1994,-10,0
P 69 SV 40 T,2,5,3,1994,-10,0
PZ HPV 7,2,5,3,1994,70,0
UACC 3199,1,4,2,1994,58,0
WPE 1 NA 22,2,4,3,1994,54,0
WPE 1 NB 11,2,4,3,1994,54,0
WPE 1 NB 14,2,4,3,1994,54,0
WPE 1 NB 26,2,4,3,1994,54,0
BICR 3,1,4,4,1995,-10,0
BICR 56,1,5,1,1995,-10,0
