Year,"Cancer Index (2=Female Breast Cancer, 3=Prostate Cancer, 4=Lung Cancer)","Measurement (1=Incidence Rate, 2=Death Rate, 3=Incidence Count, 4=Death Count)",Measurement,All Races Rate,All Races LCI,All Races UCI,White Rate,White LCI,White UCI,Black Rate,Black LCI,Black UCI,Asian/Pacific Islander Rate,Asian/Pacific Islander LCI,Asian/Pacific Islander UCI,American Indian/Alaska Native Rate,American Indian/Alaska Native LCI,American Indian/Alaska Native UCI,Hispanic Rate,Hispanic LCI,Hispanic UCI
2002,3,1,2,583.5,582.1,584.9,579.4,577.9,580.9,664.4,659,669.8,359.8,353.5,366.2,352.4,337.6,367.7,475.6,470.3,480.8
2003,3,1,2,566.4,565.1,567.8,560.8,559.4,562.2,648.7,643.7,653.6,356.1,350,362.2,360.8,346.1,375.8,462.1,457.2,467.2
2004,3,1,2,563,561.7,564.3,558,556.6,559.4,641.7,636.8,646.5,352.1,346.2,358,356,342,370.5,458.7,453.9,463.6
2005,3,1,2,559.5,558.3,560.8,555.3,553.9,556.6,630.4,625.7,635.2,339,333.5,344.6,344.2,330.9,357.9,452.4,447.8,457.1
2006,3,1,2,563.9,562.7,565.2,560.3,558.9,561.6,625.3,620.7,630,341.4,335.9,346.9,341.6,328.4,355.2,448.6,444.1,453.1
2007,3,1,2,569.1,567.8,570.3,563.7,562.4,565.1,635,630.4,639.6,343.2,337.9,348.5,346.2,333.4,359.3,448.5,444.1,452.9
2008,3,1,2,555.8,554.5,557,550.4,549.1,551.7,621.5,617,625.9,332.7,327.6,337.8,342.6,330.1,355.3,445.3,441,449.5
2009,3,1,2,542.7,541.5,543.9,536.3,535,537.6,613.5,609.2,617.9,326.1,321.3,331.1,332,320.2,344,433.4,429.3,437.5
2010,3,1,2,525.7,524.5,526.9,519.5,518.2,520.7,586.5,582.3,590.7,323,318.3,327.8,325.2,313.8,336.9,412.7,408.9,416.6
2011,3,1,2,521.8,520.6,522.9,516,514.8,517.3,576.3,572.2,580.4,320.5,315.9,325.1,312.9,302,324,407,403.2,410.7
2012,3,1,2,492.5,491.4,493.7,487.9,486.7,489.1,541.2,537.3,545.1,295.1,290.9,299.4,284.7,274.7,294.9,375.8,372.3,379.3
2013,3,1,2,479,477.9,480,473.9,472.7,475.1,518.6,514.9,522.3,290.5,286.4,294.6,289.3,279.5,299.3,368.9,365.6,372.3
1999,2,1,2,423.4,422.3,424.5,429.6,428.5,430.8,393,389.6,396.3,285.5,280.3,290.7,281.1,269.2,293.2,346.7,342.8,350.7
2000,2,1,2,423.6,422.6,424.7,430.6,429.4,431.8,390.7,387.4,394,281.9,277,286.9,265.2,254.2,276.5,342.5,338.7,346.3
2001,2,1,2,429.7,428.7,430.8,437.2,436,438.3,393.6,390.3,396.9,289.2,284.3,294.1,285.7,274.7,297,345.9,342.2,349.6
2002,2,1,2,426.2,425.2,427.3,432.3,431.2,433.5,400.4,397.1,403.7,288.9,284.3,293.7,276.4,265.7,287.4,343.1,339.5,346.7
2003,2,1,2,418.4,417.4,419.4,423.7,422.6,424.8,399,396,402.1,280.5,276,284.9,278.7,268.4,289.4,339.1,335.6,342.5
2004,2,1,2,419.1,418.1,420.1,424.9,423.8,426,399,396,402,281.1,276.8,285.5,281,270.8,291.4,340.4,337,343.8
2005,2,1,2,421.2,420.2,422.2,427.5,426.4,428.6,398.5,395.5,401.5,284,279.8,288.3,275.7,265.9,285.9,341.1,337.8,344.4
2006,2,1,2,421.7,420.7,422.7,428.5,427.4,429.5,397.5,394.5,400.5,281.5,277.5,285.7,288.6,278.7,298.8,338.3,335.1,341.5
2007,2,1,2,423.9,422.9,424.9,430,428.9,431.1,402.3,399.4,405.3,286,282,290.1,279.5,270,289.3,337.8,334.7,340.9
2008,2,1,2,426.4,425.4,427.4,433,431.9,434.1,402,399.1,404.9,290.9,286.9,294.9,280.1,270.8,289.6,341.6,338.5,344.6
2009,2,1,2,426.8,425.8,427.8,433.1,432,434.2,407.1,404.2,410,287.6,283.8,291.5,276,267,285.2,339,336,342
2010,2,1,2,417.8,416.9,418.8,423.4,422.3,424.4,403.4,400.6,406.3,290.2,286.4,294,272.3,263.6,281.2,327.9,325.1,330.8
2011,2,1,2,418.1,417.1,419,423.6,422.5,424.7,402.9,400.1,405.8,287,283.3,290.7,272.9,264.3,281.6,332,329.2,334.8
2012,2,1,2,416.5,415.5,417.4,422.1,421.1,423.2,397.2,394.4,399.9,285.9,282.4,289.5,275.6,267.1,284.2,327.5,324.8,330.3
2013,2,1,2,412.6,411.6,413.5,417.4,416.4,418.5,393.6,390.9,396.3,283.3,279.8,286.7,269.6,261.5,277.9,325.6,323,328.3
1999,4,1,3,483.7,482.8,484.5,484.9,484,485.9,499.6,496.7,502.6,315.8,311.6,320,319.9,310,329.9,394.3,391,397.5
2000,4,1,3,485.6,484.7,486.4,487.4,486.4,488.3,500.1,497.2,503,314.4,310.4,318.5,294.7,285.7,303.8,392,388.9,395.1
2001,4,1,3,487.1,486.2,487.9,489.2,488.3,490.1,499,496.2,501.9,315.1,311.2,319,310.3,301.4,319.4,389.3,386.2,392.3
2002,4,1,3,483.6,482.8,484.5,485.3,484.4,486.2,498.6,495.8,501.5,312.8,309.1,316.6,303.8,295.2,312.6,389,386.1,392
2003,4,1,3,471.7,470.9,472.5,472.3,471.4,473.1,491.7,489,494.3,305.2,301.6,308.8,306.6,298.2,315.1,381,378.2,383.8
2004,4,1,3,470.6,469.8,471.4,471.7,470.9,472.6,488.7,486.1,491.3,303.6,300.1,307,306.3,298,314.6,380.4,377.6,383.1
2005,4,1,3,470.4,469.7,471.2,472.1,471.2,472.9,484.3,481.7,486.8,300.1,296.8,303.5,298.9,291,306.9,377.9,375.3,380.6
2006,4,1,3,472.9,472.2,473.7,475.1,474.3,476,481.9,479.4,484.4,299.3,296,302.5,304.9,297,312.9,374.4,371.8,377
2007,4,1,3,476.5,475.7,477.2,477.6,476.8,478.5,488.3,485.8,490.8,302.4,299.3,305.6,302.5,295,310.3,373.7,371.2,376.2
2008,4,1,3,472.2,471.4,473,473.5,472.7,474.3,483.8,481.3,486.2,300.6,297.6,303.7,299.8,292.5,307.3,374.6,372.2,377.1
2009,4,1,3,467,466.2,467.7,467.6,466.7,468.4,483.7,481.3,486.1,295.9,292.9,298.9,294.2,287.1,301.3,368.8,366.4,371.2
2010,4,1,3,455.1,454.4,455.8,455.4,454.6,456.2,470.7,468.4,473.1,296,293.1,298.9,289.3,282.4,296.2,354.5,352.2,356.7
2011,4,1,3,454,453.3,454.7,454.5,453.7,455.3,466.7,464.4,469,293.7,290.9,296.6,283.3,276.6,290,355,352.8,357.2
2012,4,1,3,440,439.3,440.7,440.9,440.1,441.7,449,446.7,451.2,282.7,280.1,285.4,272.6,266.3,279,338.9,336.8,341
2013,4,1,3,432.4,431.7,433.1,432.6,431.9,433.4,438.1,435.9,440.2,279.4,276.8,282,272.9,266.7,279.1,335.4,333.4,337.5
1999,3,1,3,574.8,573.4,576.3,569.4,567.9,570.9,667.8,662.2,673.4,361.4,354.4,368.6,381.3,363.8,399.3,470.2,464.5,475.9
2000,3,1,3,578.2,576.8,579.6,573.2,571.7,574.7,670.1,664.6,675.6,363,356.3,369.9,340.7,325.4,356.5,472.4,466.9,477.9
2001,3,1,3,579.2,577.8,580.6,574.3,572.8,575.8,669,663.7,674.5,360.4,353.9,367,351.1,336,366.6,465.7,460.4,471
2002,3,1,3,575.2,573.9,576.6,570.9,569.5,572.4,658.5,653.1,663.8,355.1,348.8,361.4,347.5,332.8,362.7,468.7,463.5,473.9
2003,3,1,3,557.7,556.4,559,551.9,550.5,553.3,642.8,637.9,647.7,350.4,344.4,356.5,354.7,340.2,369.6,454.7,449.7,459.6
2004,3,1,3,553.6,552.4,554.9,548.4,547,549.7,635.4,630.5,640.2,345.2,339.4,351,350.4,336.5,364.8,451.6,446.8,456.4
2005,3,1,3,550.1,548.8,551.3,545.5,544.1,546.9,623.9,619.2,628.6,333,327.5,338.6,337.6,324.4,351.1,445,440.4,449.6
2006,3,1,3,554.3,553,555.6,550.4,549,551.7,618.4,613.8,623,334.6,329.2,340,335.6,322.6,349,440.6,436.2,445.1
2007,3,1,3,559.1,557.9,560.4,553.6,552.2,554.9,627.8,623.2,632.4,336.5,331.3,341.8,342.2,329.4,355.2,440.1,435.8,444.5
2008,3,1,3,545.8,544.5,547,540.2,538.9,541.5,614.3,609.8,618.7,325,320,330,336.7,324.4,349.3,437,432.8,441.2
2009,3,1,3,532.8,531.6,534,526.1,524.8,527.4,606.4,602.1,610.7,318.8,313.9,323.6,327.6,315.9,339.5,425,421,429.1
2010,3,1,3,516.2,515,517.3,509.7,508.5,511,579.1,574.9,583.3,315.9,311.2,320.6,320.8,309.5,332.3,405.6,401.8,409.4
2011,3,1,3,512.6,511.5,513.8,506.6,505.4,507.9,569.9,565.8,574,314,309.4,318.5,307.3,296.6,318.3,399.9,396.2,403.6
2012,3,1,3,483.5,482.4,484.6,478.8,477.6,479.9,534,530.2,537.9,289.1,284.9,293.3,279.1,269.3,289.2,369.4,365.9,372.8
2013,3,1,3,470.7,469.6,471.8,465.5,464.4,466.7,511.9,508.2,515.6,284.9,280.9,289,286.2,276.5,296.2,362.7,359.4,366.1
1999,2,1,3,423.2,422.2,424.3,429.5,428.3,430.7,392.8,389.5,396.2,285.4,280.2,290.6,280.9,269.1,293,346.6,342.7,350.6
2000,2,1,3,423.3,422.3,424.4,430.3,429.2,431.5,390.5,387.2,393.8,281.8,276.8,286.7,264.8,253.9,276.1,342.2,338.5,346
2001,2,1,3,424.4,423.4,425.5,431.8,430.7,433,389.2,386,392.5,285.1,280.3,290,283.3,272.3,294.6,340.2,336.5,343.9
2002,2,1,3,420.7,419.6,421.7,426.7,425.6,427.8,396,392.7,399.3,285.5,280.8,290.2,274,263.4,285,337.7,334.2,341.3
2003,2,1,3,412.7,411.7,413.7,417.9,416.8,419,394.5,391.5,397.6,275.8,271.4,280.3,275.3,265,285.9,333.7,330.3,337.2
2004,2,1,3,413.1,412.1,414.1,418.8,417.7,419.9,394.4,391.3,397.4,276.7,272.5,281,276.3,266.1,286.6,334.8,331.4,338.1
2005,2,1,3,414.9,414,415.9,421.2,420.1,422.2,393.2,390.3,396.2,279.8,275.6,284,271.8,262,281.8,335.3,332,338.6
2006,2,1,3,415.3,414.3,416.3,421.9,420.8,423,392.4,389.5,395.4,277.3,273.3,281.4,284.6,274.8,294.7,332.1,328.9,335.3
2007,2,1,3,417.1,416.1,418.1,423.1,422.1,424.2,396.4,393.5,399.3,281,277.1,285.1,275.6,266.1,285.3,331,327.9,334
2008,2,1,3,419.6,418.7,420.6,426.2,425.1,427.2,396.5,393.6,399.4,286.5,282.6,290.5,275.5,266.3,284.9,335,332,338
2009,2,1,3,420.2,419.2,421.1,426.4,425.3,427.5,401.3,398.4,404.1,282.9,279.2,286.8,271.9,263,280.9,333.2,330.2,336.1
2010,2,1,3,411.5,410.6,412.5,417,415.9,418,397.8,395,400.7,285.6,281.8,289.3,269.1,260.4,277.9,322.1,319.3,325
2011,2,1,3,412.1,411.2,413.1,417.6,416.6,418.7,397.3,394.5,400.1,282.6,279,286.3,268.2,259.7,276.9,327,324.3,329.8
2012,2,1,3,410.6,409.6,411.5,416.2,415.1,417.2,392.1,389.3,394.8,281.9,278.4,285.5,270.7,262.4,279.3,322.6,319.9,325.3
2013,2,1,3,407.1,406.2,408,412,410.9,413,388.7,386.1,391.4,279.3,275.9,282.8,265.9,257.9,274.2,321.1,318.5,323.8
1999,4,1,4,76.4,76.1,76.8,76.6,76.2,76.9,85.1,83.9,86.4,41.6,40,43.2,51.3,47.3,55.5,45.9,44.8,47.1
2000,4,1,4,75.7,75.3,76,76,75.6,76.3,82.2,81.1,83.4,42.8,41.2,44.3,49,45.3,52.8,43.5,42.4,44.6
2001,4,1,4,75.6,75.2,75.9,76,75.6,76.3,82.3,81.1,83.4,41,39.5,42.5,51.8,48.1,55.7,43.8,42.7,44.8
2002,4,1,4,75.1,74.8,75.5,75.6,75.3,76,81.7,80.5,82.8,40.7,39.3,42.1,50.7,47.1,54.4,43.2,42.2,44.3
2003,4,1,4,75.2,74.9,75.5,75.6,75.3,76,81.8,80.7,82.9,41.3,39.9,42.7,50.2,46.8,53.8,42.9,41.9,43.9
2004,4,1,4,74.6,74.2,74.9,75,74.7,75.3,81,79.9,82.1,40.4,39.1,41.7,53.1,49.6,56.7,42.7,41.7,43.7
2005,4,1,4,74.7,74.4,75,75.2,74.9,75.6,80,79,81.1,40.2,39,41.5,52.6,49.2,56.1,41.3,40.4,42.2
2006,4,1,4,73.7,73.4,74,74.4,74.1,74.8,77.9,76.9,79,39.4,38.2,40.7,51.3,48,54.8,40,39.1,40.9
2007,4,1,4,72.7,72.4,73,73.5,73.1,73.8,77.2,76.2,78.2,39.5,38.3,40.7,51.4,48.1,54.8,40.7,39.8,41.6
2008,4,1,4,72,71.7,72.3,72.8,72.5,73.2,75.7,74.7,76.7,39.1,37.9,40.3,53.4,50.2,56.7,39.8,38.9,40.6
2009,4,1,4,70.7,70.4,71,71.3,71,71.6,75.4,74.4,76.4,39.5,38.4,40.6,48,45.1,51.1,38.5,37.7,39.3
2010,4,1,4,68.3,68,68.6,69,68.6,69.3,73.1,72.2,74.1,38.4,37.3,39.5,49.5,46.6,52.6,36.9,36.1,37.7
2011,4,1,4,66.7,66.5,67,67.5,67.2,67.8,70.9,70,71.8,37.6,36.5,38.6,47.7,44.8,50.6,36.2,35.5,37
2012,4,1,4,65.5,65.3,65.8,66.2,65.9,66.5,69.6,68.8,70.5,37.1,36.1,38.2,43.9,41.3,46.7,34.6,33.9,35.3
2013,4,1,4,63.6,63.4,63.9,64.4,64.1,64.7,66.2,65.4,67.1,36.8,35.9,37.8,43.8,41.2,46.4,34.6,33.9,35.3
1999,3,1,4,176.3,175.5,177.1,169.6,168.8,170.4,257.6,254.1,261.1,98,94.3,101.8,111.5,102,121.6,155.2,151.9,158.5
2000,3,1,4,178.7,177.9,179.4,171.6,170.8,172.4,266.8,263.3,270.3,97.1,93.6,100.7,96,87.8,104.7,156.6,153.5,159.8
2001,3,1,4,180.6,179.9,181.4,173.6,172.8,174.4,265,261.6,268.4,99.7,96.2,103.2,99.2,91.2,107.6,154.3,151.3,157.4
2002,3,1,4,178.4,177.7,179.2,171.5,170.7,172.3,261.6,258.2,265,97.1,93.7,100.4,111.2,102.8,120,159.4,156.4,162.4
2003,3,1,4,163.4,162.7,164.1,155.5,154.8,156.3,243.9,240.9,247,91.4,88.3,94.5,98.9,91.4,106.9,148.7,145.9,151.6
2004,3,1,4,159,158.4,159.7,151.3,150.6,152,237.9,234.9,240.8,90.7,87.8,93.8,100.1,92.6,108.1,142.7,140,145.4
2005,3,1,4,156.6,156,157.3,149.1,148.4,149.8,232.7,229.8,235.5,83.2,80.5,86,91.1,84.3,98.3,137.5,135,140.1
2006,3,1,4,165.9,165.3,166.6,158.4,157.7,159.1,236.6,233.8,239.5,86.7,84,89.6,93,86.2,100.2,140.7,138.2,143.2
2007,3,1,4,170.5,169.8,171.2,161.8,161.1,162.5,244.4,241.6,247.2,88.3,85.6,91,93.5,86.9,100.5,142.7,140.3,145.2
2008,3,1,4,157.8,157.2,158.5,149.3,148.6,149.9,231.5,228.8,234.2,79.1,76.7,81.6,88.3,82,94.9,138.5,136.2,140.9
2009,3,1,4,149.4,148.7,150,139.8,139.2,140.5,227.8,225.2,230.4,76.8,74.4,79.2,84.6,78.7,90.8,132.3,130.1,134.6
2010,3,1,4,140.2,139.6,140.8,130.7,130.1,131.4,211,208.5,213.5,71,68.8,73.2,77,71.6,82.7,119.9,117.8,121.9
2011,3,1,4,139.2,138.6,139.8,129.7,129.1,130.4,207.9,205.5,210.3,72.6,70.5,74.8,71,66,76.3,114.3,112.3,116.2
2012,3,1,4,115,114.4,115.5,106.3,105.8,106.9,178.6,176.4,180.8,57.9,56.1,59.8,62.3,57.8,67.1,98.7,96.9,100.4
2013,3,1,4,108.2,107.7,108.7,100.1,99.5,100.6,166.9,164.9,169,55,53.3,56.8,58.3,54,62.7,92.8,91.2,94.5
1999,2,1,4,135.1,134.5,135.7,138.1,137.4,138.7,117.3,115.5,119.2,86.8,84.1,89.6,76,70.1,82.3,99,97,101.1
2000,2,1,4,132.9,132.3,133.5,135.9,135.3,136.6,114.9,113.2,116.7,83.7,81.1,86.3,70.7,65.3,76.4,99.7,97.7,101.7
2001,2,1,4,132.3,131.7,132.9,135.5,134.8,136.1,114.5,112.8,116.3,85.4,82.9,87.9,74.1,68.7,79.7,96.1,94.2,98
2002,2,1,4,129.3,128.7,129.9,131.7,131,132.3,116.6,114.9,118.4,86.4,84,88.9,74.8,69.5,80.4,96.1,94.2,97.9
2003,2,1,4,122.5,121.9,123,124.3,123.7,124.9,114.8,113.2,116.4,81.2,78.9,83.5,72.8,67.8,78.1,91.8,90,93.5
2004,2,1,4,121.1,120.6,121.7,122.8,122.2,123.4,115,113.4,116.6,82.9,80.6,85.1,68.6,63.8,73.6,90.6,88.9,92.3
2005,2,1,4,120.8,120.3,121.4,122.6,122,123.2,114.5,112.9,116.1,82.8,80.7,85.1,68.7,63.9,73.6,94.4,92.8,96.1
2006,2,1,4,121.6,121.1,122.2,123.3,122.7,123.9,116.7,115.2,118.3,82.3,80.2,84.5,69.2,64.6,74.1,92.9,91.3,94.6
2007,2,1,4,123.2,122.6,123.7,124.5,123.9,125.1,120,118.5,121.6,84.4,82.3,86.6,73.8,69.1,78.6,92.6,91.1,94.2
2008,2,1,4,124.3,123.7,124.8,125.6,125,126.2,121,119.4,122.5,87.7,85.6,89.8,68.6,64.2,73.2,94.2,92.6,95.8
2009,2,1,4,125.3,124.7,125.8,126.8,126.2,127.3,123.4,121.8,125,85.3,83.3,87.4,65.7,61.6,70.1,94.3,92.7,95.8
2010,2,1,4,121.2,120.7,121.7,122.1,121.5,122.7,120.7,119.2,122.3,88.3,86.3,90.3,66,61.9,70.3,89.1,87.6,90.5
2011,2,1,4,123.5,123,124,124.4,123.8,125,123.6,122,125.1,89.6,87.6,91.6,73,68.7,77.4,93.2,91.7,94.7
2012,2,1,4,123.1,122.6,123.6,124.1,123.6,124.7,121.3,119.8,122.8,89.9,88,91.9,69.4,65.3,73.7,91.4,90,92.8
2013,2,1,4,123.7,123.2,124.2,124.4,123.8,125,122.9,121.4,124.4,91.1,89.2,93.1,72.3,68.2,76.5,92.5,91.2,93.9
1999,4,1,5,70.8,70.5,71.2,71.1,70.7,71.4,77.5,76.4,78.7,39.2,37.7,40.8,47.5,43.6,51.6,41.3,40.2,42.4
2000,4,1,5,70.2,69.9,70.6,70.7,70.3,71,74.8,73.7,76,40.2,38.8,41.8,45.7,42.2,49.5,38.8,37.8,39.8
2001,4,1,5,70.3,70,70.6,70.8,70.5,71.2,75.2,74.1,76.3,38.9,37.5,40.4,48.2,44.6,52,39.4,38.4,40.4
2002,4,1,5,70.1,69.7,70.4,70.6,70.3,70.9,74.8,73.7,75.9,38.6,37.2,40,47.8,44.3,51.5,39,38.1,40
2003,4,1,5,70.2,69.9,70.5,70.7,70.4,71,74.9,73.9,76,39,37.7,40.4,47.1,43.7,50.6,38.6,37.7,39.6
2004,4,1,5,69.4,69.1,69.7,70,69.7,70.3,74,73,75.1,38.2,36.9,39.4,50,46.6,53.5,38.6,37.6,39.5
2005,4,1,5,69.7,69.4,70,70.3,70,70.6,73.5,72.5,74.5,38.5,37.2,39.7,49.2,45.9,52.6,37.2,36.4,38.1
2006,4,1,5,68.8,68.5,69.1,69.6,69.3,69.9,71.6,70.6,72.6,37.6,36.4,38.8,48,44.8,51.4,36.3,35.4,37.1
2007,4,1,5,67.9,67.6,68.2,68.7,68.4,69,70.8,69.8,71.8,37.8,36.6,39,47.9,44.7,51.1,36.7,35.9,37.5
2008,4,1,5,67.3,67,67.6,68.2,67.8,68.5,69.6,68.6,70.5,37.2,36.1,38.4,49.7,46.6,52.9,35.9,35.1,36.7
2009,4,1,5,66,65.7,66.3,66.7,66.4,67,69.4,68.5,70.4,37.6,36.5,38.7,45.1,42.3,48.1,34.9,34.1,35.7
2010,4,1,5,63.7,63.5,64,64.4,64.1,64.7,67.4,66.5,68.3,36.5,35.5,37.6,46.9,44,49.9,33.3,32.6,34.1
2011,4,1,5,62.3,62.1,62.6,63.1,62.8,63.4,65.5,64.6,66.4,35.6,34.6,36.7,44.6,41.9,47.5,32.9,32.1,33.6
2012,4,1,5,61.2,61,61.5,62,61.7,62.3,64.4,63.5,65.3,35.3,34.3,36.3,41.6,39,44.3,31.4,30.7,32.1
2013,4,1,5,59.4,59.1,59.6,60.1,59.9,60.4,61.2,60.4,62.1,35,34,35.9,41.5,39,44.1,31.3,30.6,31.9
1999,3,1,5,169.8,169,170.6,162.4,161.6,163.2,255.2,251.7,258.7,95.3,91.6,99,105.6,96.3,115.5,149.8,146.6,153.1
2000,3,1,5,172.1,171.4,172.9,164.3,163.5,165.1,264.1,260.6,267.6,94.3,90.8,97.9,92.2,84.1,100.7,151.6,148.4,154.8
2001,3,1,5,174.1,173.3,174.9,166.3,165.5,167.1,262.5,259.1,265.9,97.3,93.9,100.9,95.5,87.6,103.8,148.8,145.8,151.8
2002,3,1,5,172,171.3,172.8,164.3,163.6,165.1,258.8,255.5,262.2,95,91.7,98.3,106,97.7,114.7,154.2,151.2,157.3
2003,3,1,5,156.8,156.2,157.5,148.2,147.5,148.9,241.4,238.4,244.4,89.4,86.3,92.5,95.2,87.7,103,142.9,140.1,145.7
2004,3,1,5,152.5,151.9,153.2,143.9,143.2,144.6,235.5,232.6,238.5,88.4,85.5,91.4,96.3,88.8,104.2,137.4,134.7,140.1
2005,3,1,5,150,149.3,150.7,141.6,140.9,142.3,230.1,227.2,232.9,80.6,77.9,83.4,86.3,79.6,93.4,131.7,129.2,134.2
2006,3,1,5,159.5,158.8,160.2,151.2,150.5,151.9,234.1,231.3,237,84.2,81.4,86.9,87.6,80.9,94.7,135,132.5,137.5
2007,3,1,5,164,163.3,164.6,154.4,153.7,155.1,241.9,239.1,244.8,85.7,83,88.4,89.9,83.4,96.9,137.1,134.6,139.5
2008,3,1,5,151.1,150.4,151.7,141.6,140.9,142.3,228.8,226.2,231.5,76.9,74.5,79.4,83.5,77.3,90,132.1,129.8,134.5
2009,3,1,5,142.8,142.2,143.4,132.4,131.8,133,225.4,222.8,228,74.1,71.8,76.5,80.6,74.7,86.7,126.1,123.9,128.3
2010,3,1,5,133.6,133,134.2,123.3,122.7,123.9,208.4,206,210.9,68.5,66.3,70.7,73.3,68,78.9,113.8,111.7,115.8
2011,3,1,5,132.7,132.1,133.2,122.4,121.8,123,205.3,202.9,207.7,70.1,68,72.3,67.1,62.2,72.4,108.4,106.5,110.3
2012,3,1,5,108.4,107.9,108.9,98.9,98.4,99.4,175.8,173.6,178,55.3,53.5,57.2,58.7,54.2,63.4,92.7,91,94.4
2013,3,1,5,101.6,101.1,102.1,92.5,92.1,93.1,164.4,162.3,166.4,52.5,50.8,54.3,54,49.8,58.3,86.8,85.2,88.5
1999,4,2,2,200.7,200.2,201.3,197.8,197.2,198.3,253.8,251.8,255.8,123.8,121,126.5,136.4,129.8,143.3,136.1,134.1,138.1
2000,4,2,2,198.8,198.3,199.3,196.4,195.8,196.9,248.1,246.1,250.1,120.5,117.9,123.1,129.4,123.3,135.7,134.5,132.5,136.4
2001,4,2,2,196.3,195.8,196.8,194,193.4,194.5,244.3,242.4,246.3,120.5,118,123,137.5,131.3,143.8,134.4,132.5,136.3
2002,4,2,2,194.4,193.8,194.9,192.4,191.8,192.9,240.8,238.9,242.7,115.9,113.5,118.3,133.6,127.6,139.7,133.1,131.3,134.9
2003,4,2,2,190.9,190.4,191.4,189.1,188.6,189.6,235.2,233.3,237.1,116.3,113.9,118.6,127.8,122,133.7,131.2,129.4,132.9
2004,4,2,2,186.8,186.3,187.3,185.2,184.7,185.7,229,227.1,230.8,113.4,111.2,115.7,133.7,128,139.6,127.4,125.7,129.1
2005,4,2,2,185.2,184.7,185.7,183.9,183.4,184.4,224.8,223,226.6,113.9,111.8,116.1,130.5,125,136.2,129.3,127.7,131
2006,4,2,2,182,181.6,182.5,181.1,180.6,181.6,218.9,217.2,220.7,110.2,108.1,112.2,127,121.6,132.5,124.9,123.3,126.5
2007,4,2,2,179.3,178.8,179.7,178.3,177.8,178.8,216.2,214.5,218,110,108,112,125.8,120.5,131.1,122.8,121.2,124.3
