A1,A3,A2,A4,A5
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,1,0,0
2001,0,0,0,0
2002,0,0,0,0
2003,0,0,0,0
2004,0,0,0,0
2005,0,2,0,0
2006,0,1,0,0
2007,1,0,0,0
2008,0,5,0,0
2009,0,5,0,0
2010,2,5,0,0
2011,1,13,0,0
2012,1,6,0,0
2013,0,16,0,0
2014,4,4,0,0
2015,1,8,0,0
2016,1,5,0,0
