Cell Line Name,Canonical Name,Tissue Diagnosis,Gender,Ethnicity,Age,Age Unit,Age Category,SOURCE
FU-RPNT-1,FU-RPNT-1,Primitive neuroectodermal tumor,Male,Japanese,22,Years,Adult,RIKEN
FU-RPNT-2,FU-RPNT-2,Primitive neuroectodermal tumor,Male,Japanese,10,Years,Juvenile,RIKEN
81.3,81.3,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
90.74,90.74,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
293,293,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
380,380,Leukemia Acute Lymphocytic,Male,Unknown,15,Years,Juvenile,DSMZ
633,A549,Carcinoma,Male,Caucasian,58,Years,Adult,RIKEN
697,697,Leukemia Acute Lymphocytic,Male,Unknown,12,Years,Juvenile,DSMZ
1184,1184,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
1221,1221,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
1301,1301,Leukemia,Female,Caucasian,4,Years,Juvenile,ECACC
1306,1306,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
5637,5637,Carcinoma,Male,Caucasian,68,Years,Adult,ATCC
I 9.2,A3,Leukemia Acute Lymphocytic,Male,Unknown,Unknown,Unknown,Unknown,ATCC
10.014 pRSV-T,10.014 pRSV-T,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
103-LCL,103-LCL,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
105KC,105KC,Chondrosarcoma,Male,Unknown,66,Years,Adult, --
10C9,10C9,Normal,Unknown,Unknown,Unknown,Unknown,Unknown, --
1108-MP2,1108-MP2,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
1156QE,1156QE,Carcinoma Embryonal,Unknown,Unknown,22,Years,Adult,ECACC
1205Lu,1205Lu,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
1300 mel,1300 mel,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
1321N1,U-118 MG,Glioblastoma,Male,Caucasian,50,Years,Adult,ECACC
1411H,1411H,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
141-LCL,141-LCL,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
141-LCL-MUC1,141-LCL-MUC1,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,RIKEN
142BR,142BR,Normal,Male,Unknown,51,Years,Adult,ECACC
143.98.2,143.98.2,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC
143B,143.98.2,Osteosarcoma,Female,Caucasian,13,Years,Juvenile,ATCC
149BR,149BR,Normal,Male,Unknown,51,Years,Adult,ECACC
153BR,153BR,Normal,Male,Unknown,56,Years,Adult,ECACC
155BR,155BR,Normal,Male,Unknown,55,Years,Adult,ECACC
184A1,184A1,Normal,Female,Unknown,21,Years,Adult,ATCC
184B5,184A1,Normal,Female,Unknown,21,Years,Adult,ATCC
161BR,161BR,Normal,Male,Unknown,49,Years,Adult,ECACC
166-ME SK,166-ME SK,adenomatosis,Male,African,20,Years,Adult,ATCC
174BR,174BR,Normal,Female,Unknown,Unknown,Unknown,adult,ECACC
175BR,175BR,Normal,Male,Unknown,Unknown,Unknown,adult,ECACC
1A2,1A2,Lymphoma B-cell,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
1A6,1A6,Carcinoma,Male,Caucasian,68,Years,Adult,ATCC
1B2C6,1B2C6,Normal,Unknown,Japanese,19,Weeks,Fetal,RIKEN
1BR3,1BR3,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
1C3D3,1B2C6,Normal,Unknown,Japanese,19,Weeks,Fetal,RIKEN
1C3IKEI,1B2C6,Normal,Unknown,Japanese,19,Weeks,Fetal,RIKEN
1G2,1G2,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC
2.040 pRSV-T,2.040 pRSV-T,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
201B7,201B7,Unknown,Female,Caucasian,36,Years,Adult,RIKEN
201T,201T,Adenocarcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,UPMC
20B8,1G2,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC
20H11,20H11,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
211-LCL,211-LCL,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN
22Rv1,22Rv1,Carcinoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
23132/87,23132/87,Adenocarcinoma,Male,Unknown,72,Years,Adult,DSMZ
253G1,253G1,Unknown,Female,Caucasian,36,Years,Adult,RIKEN
277-LCL,277-LCL,Normal,male,Unknown,Unknown,Unknown,Unknown,RIKEN
2A,293,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
2B8,HS-Sultan,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC
2B8,1G2,Malignant Lymphoma - Burkitts Type,Male,African,7,Years,Juvenile,ATCC
2C6,1B2C6,Normal,Unknown,Japanese,19,Weeks,Fetal,RIKEN
2V6.11,2V6.11,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
305M,305M,Normal,Female,Japanese,26,Years,Adult,RIKEN
3A sub E,3A(tPA-30-1),Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
3A(tPA-30-1),3A(tPA-30-1),Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
41M-CISR,A2780,Carcinoma,Female,Unknown,Unknown,Unknown,Unknown, --
42-MG-BA,42-MG-BA,Glioma,Male,Unknown,63,Years,Adult,DSMZ
4498-14745,4498-14745,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
451Lu,451Lu,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown,ATCC
46BR,46BR,Normal,Unknown,Unknown,Unknown,Unknown,Unknown,ECACC
4MBr-5,4MBr-5,Normal,Unknown,Unknown,2,Years,Juvenile, --
4T1,4T1,Tumor NOS,Unknown,Unknown,Unknown,Unknown,Unknown, --
501A,501A,Melanoma,Unknown,Unknown,Unknown,Unknown,Unknown, --
