Name,Canonical_Name,Primary Tissue,Diagnosis,Gender,Ethnicity,Age,Age_Unit,Age_Category,Source,Status,"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined),URL, 
MEN1RGB,MEN1RGB,Adrenal,Unknown,Female,Japanese,62,Years,Adult,RIKEN,0,1,1,1,0,62.0,-10,,
NCI-H295,NCI-H295,Adrenal,Carcinoma,Female,African,48,Years,Adult,ATCC,Derivative Line,1,1,2,2,48.0,-10,,
NCI-H295R,NCI-H295R,Adrenal,Carcinoma,Female,African,48,Years,Adult,ATCC,Derivative Line,1,1,2,2,48.0,-10,,
SW 13,SW 13,Adrenal,Adenocarcinoma,Female,Caucasian,55,Years,Adult,ECACC,0,1,1,5,0,55.0,-10,,
UM-UC-5,UM-UC-5,Bladder,Carcinoma Squamous Cell,Female,Unknown,Unknown,Unknown,Unknown,ECACC,0,1,1,6,0,-10.0,-10,,
1301,1301,Blood,Leukemia,Female,Caucasian,4,Years,Juvenile,ECACC,Derivative Line,1,1,5,2,4.0,-10,,
A0010,A0010,Blood,Normal,Female,Japanese,7,Years,Juvenile,RIKEN,0,1,1,1,0,7.0,-10,,
A0072,A0072,Blood,Normal,Female,Japanese,55,Years,Adult,RIKEN,0,1,1,1,0,55.0,-10,,
A3/KAW,A3/KAW,Blood,Lymphoma,Female,Japanese,68,Years,Adult,JCRB,0,1,1,1,0,68.0,-10,,
A4/Fuk,A4/Fuk,Blood,Lymphoma Non-Hodgkins,Female,Japanese,52,Years,Adult,JCRB,0,1,1,1,0,52.0,-10,,
AML-193,AML-193,Blood,Leukemia Acute Myelogenous,Female,Unknown,13,Years,Juvenile,ATCC,Parental,1,1,6,4,13.0,-10,,
AMO-1,AMO-1,Blood,Plasmacytoma,Female,Unknown,64,Years,Adult,DSMZ,0,1,1,6,0,64.0,-10,,
ARH-77,ARH-77,Blood,Leukemia,Female,Unknown,33,Years,Adult,ECACC,Parental,1,1,6,4,33.0,-10,,
AT(L)5KY,AT(L)5KY,Blood,Normal,Female,Unknown,10,Years,Juvenile,JCRB,0,1,1,6,0,10.0,-10,,
AW-EBV-LCL,AW-EBV-LCL,Blood,Leukemia,Female,Japanese,12,Years,Juvenile,RIKEN,0,1,1,1,0,12.0,-10,,
B0010,B0010,Blood,Normal,Female,Japanese,7,Years,Juvenile,RIKEN,0,1,1,1,0,7.0,-10,,
B0072,B0072,Blood,Normal,Female,Japanese,55,Years,Adult,RIKEN,0,1,1,1,0,55.0,-10,,
BE-13,BE-13,Blood,Leukemia,Female,Unknown,4,Years,Juvenile,DSMZ,contaminant,1,1,6,1,4.0,-10,,
BHL-89,BHL-89,Blood,Lymphoma,Female,Unknown,56,Years,Adult,ECACC,0,1,1,6,0,56.0,-10,,
C13589,C13589,Blood,Normal,Female,Caucasian,39,Years,Adult,ATCC,0,1,1,5,0,39.0,-10,,
CCD-973Sk,RS4;11,Blood,Leukemia Acute Lymphocytic,Female,Caucasian,32,Years,Adult,ATCC,Parental,1,1,5,4,32.0,-10,,
CCRF-CEM,CCRF-CEM,Blood,Leukemia Acute Lymphocytic,Female,Caucasian,4,Years,Juvenile,ECACC,Parental,1,1,5,4,4.0,-10,,
CEM-CM3,CEM-CM3,Blood,Normal,Female,Caucasian,4,Years,Juvenile,ATCC,0,1,1,5,0,4.0,-10,,
CEM/C1,CEM/C1,Blood,Leukemia Acute Lymphocytic,Female,Caucasian,4,Years,Juvenile,ATCC,Derivative Line,1,1,5,2,4.0,-10,,
CEM/C2,CEM/C2,Blood,Leukemia Acute Lymphocytic,Female,Caucasian,4,Years,Juvenile,ATCC,Derivative Line,1,1,5,2,4.0,-10,,
CI-1,CI-1,Blood,Lymphoma Non-Hodgkins,Female,Unknown,38,Years,Adult,DSMZ,0,1,1,6,0,38.0,-10,,
Clone 15 HL-60,HL-60,Blood,Leukemia,Female,Caucasian,36,Years,Adult,ATCC,Parental,1,1,5,4,36.0,-10,,
CML-T1,CML-T1,Blood,Leukemia,Female,Unknown,36,Years,Adult,DSMZ,0,1,1,6,0,36.0,-10,,
COLO 720L,COLO 720L,Blood,Normal,Female,Chinese,74,Years,Adult,ECACC,0,1,1,1,0,74.0,-10,,
DL-40,DL-40,Blood,Lymphoma,Female,Japanese,64,Years,Adult,JCRB,0,1,1,1,0,64.0,-10,,
DOGUM,DOGUM,Blood,Malignant Lymphoma - Burkitts Type,Female,Unknown,49,Years,Adult,DSMZ,0,1,1,6,0,49.0,-10,,
E.H.IV (Elaine IV),E.H.IV (Elaine IV),Blood,Normal,Female,Caucasian,20,Years,Adult,ATCC,0,1,1,5,0,20.0,-10,,
EB1,EB1,Blood,Malignant Lymphoma - Burkitts Type,Female,African,9,Years,Juvenile,ATCC,Contaminant,1,1,2,1,9.0,-10,,
EB2,EB1,Blood,Malignant Lymphoma - Burkitts Type,Female,African,9,Years,Juvenile,ATCC,Contaminant,1,1,2,1,9.0,-10,,
EHEB,EHEB,Blood,Leukemia,Female,Unknown,69,Years,Adult,DSMZ,0,1,1,6,0,69.0,-10,,
EJM,EJM,Blood,Multiple Myeloma,Female,Unknown,58,Years,Adult,DSMZ,0,1,1,6,0,58.0,-10,,
